City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Busselton,AU,68.04,few clouds,-33.65,115.3333,Observatory Guest House
7,Ushuaia,AR,49.37,overcast clouds,-54.8,-68.3,Albatross Hotel
15,Mimarsinan,TR,45.99,few clouds,41.0032,28.5377,Otel Pelikan
20,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Port Elizabeth,ZA,69.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
22,Yanliang,CN,29.16,light snow,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
23,Tongren,CN,39.47,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
25,Saldanha,ZA,68.07,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
30,Mpanda,TZ,63.41,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
31,Whitehorse,CA,28.02,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
38,Kaitangata,NZ,55.92,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
45,Ha Tinh,VN,59.16,overcast clouds,18.3333,105.9,Phú Quý
49,Gushikawa,JP,58.62,few clouds,26.3544,127.8686,Kirari Guest House
50,Ulladulla,AU,68.09,overcast clouds,-35.35,150.4667,Sandpiper Motel
51,Green River,US,37.15,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
52,Bredasdorp,ZA,68.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
55,Fairbanks,US,14.22,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
60,Albion,US,20.98,clear sky,42.2431,-84.753,Days Inn by Wyndham Albion
61,Nikolskoye,RU,25.72,light snow,59.7035,30.7861,Tourist House - Sablino
62,Mount Pleasant,US,46.99,clear sky,32.7941,-79.8626,Best Western Patriots Point
63,Vestmannaeyjar,IS,28.24,overcast clouds,63.4427,-20.2734,Glamping & Camping
64,Uyuni,BO,56.03,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
66,Tasiilaq,GL,17.76,overcast clouds,65.6145,-37.6368,The Red House
69,Anahuac,MX,54.9,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
70,Rocha,UY,63.28,few clouds,-34.4833,-54.3333,Hotel Arrarte
71,Hofn,IS,29.35,broken clouds,64.2539,-15.2082,Hótel Höfn
72,Lebu,CL,59.47,clear sky,-37.6167,-73.65,Hostal Las Lilas
73,Ucluelet,CA,48.09,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
74,Tuatapere,NZ,57.81,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
75,Jacksonville,US,53.06,light intensity drizzle,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
82,New Norfolk,AU,69.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
84,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
85,Lagoa,PT,58.64,clear sky,39.05,-27.9833,Casa Das Faias
89,Punta Arenas,CL,59.11,broken clouds,-53.15,-70.9167,Hotel Hain
91,Ahar,IR,15.19,broken clouds,38.4774,47.0699,هتل رضوی
93,Powell River,CA,47.08,overcast clouds,49.8496,-124.5361,Rodmay Hotel
94,Hobart,AU,69.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
96,Sajanan,TN,50.04,overcast clouds,37.0573,9.2426,Centre de culture du tabac sejenene
98,Fortuna,US,64.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
99,Bluff,NZ,57.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
101,Mar Del Plata,AR,63.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
105,Castro,BR,65.59,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
106,Coihaique,CL,62.55,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
108,Margate,GB,51.04,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
109,Racalmas,HU,35.65,scattered clouds,47.0226,18.9406,Jankovich Hotel
110,Torbay,CA,47.75,light rain,47.6666,-52.7314,Gallows Cove
111,Bilma,NE,60.04,clear sky,18.6853,12.9164,Expeditions Ténére voyages
112,Kodiak,US,38.71,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
114,Marawi,PH,68.65,few clouds,7.9986,124.2928,Derogongan Residence
115,Vila Franca Do Campo,PT,59.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
116,Sitka,US,42.69,moderate rain,57.0531,-135.33,Westmark Sitka
117,Burnie,AU,64.94,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
118,Chuy,UY,66.36,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
119,Riyadh,SA,52.25,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
120,Beyneu,KZ,29.89,light snow,45.3167,55.2,NUR
122,Berlevag,NO,24.44,broken clouds,70.8578,29.0864,Kvitbrakka
123,Flagstaff,US,48.88,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
124,Bullhead City,US,69.94,scattered clouds,35.1478,-114.5683,Harrah's Laughlin
128,Jiuquan,CN,14.27,overcast clouds,39.7432,98.5174,Jiuquan Hotel
131,Ponta Do Sol,PT,67.01,clear sky,32.6667,-17.1,Hotel do Campo
133,Cape Town,ZA,69.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
