City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bluff,-46.6,168.3333,59.81,58,58,6.24,NZ,2022-02-05 05:57:04
1,Mogadishu,2.0371,45.3438,78.67,69,40,12.66,SO,2022-02-05 05:57:04
2,Alofi,-19.0595,-169.9187,76.89,94,100,4.61,NU,2022-02-05 05:57:05
3,Bethel,41.3712,-73.414,27.05,85,100,8.23,US,2022-02-05 05:57:05
4,Vaini,-21.2,-175.2,77.16,94,100,14.97,TO,2022-02-05 05:57:05
5,Kushima,31.4583,131.2333,50.04,55,45,16.49,JP,2022-02-05 05:57:06
6,Florianopolis,-27.6146,-48.5012,76.37,92,75,1.99,BR,2022-02-05 05:57:06
7,Pascagoula,30.3658,-88.5561,34.52,92,98,15.93,US,2022-02-05 05:57:06
8,Ilulissat,69.2167,-51.1,1.83,94,100,6.69,GL,2022-02-05 05:52:59
9,Butaritari,3.0707,172.7902,82.98,79,76,18.63,KI,2022-02-05 05:57:07
10,Kruisfontein,-34.0033,24.7314,66.88,72,48,9.93,ZA,2022-02-05 05:57:07
11,Arraial Do Cabo,-22.9661,-42.0278,75.6,89,98,21.83,BR,2022-02-05 05:57:07
12,Provideniya,64.3833,-173.3,0.48,70,1,10.98,RU,2022-02-05 05:57:07
13,Georgetown,5.4112,100.3354,91.33,74,40,5.01,MY,2022-02-05 05:53:45
14,Rikitea,-23.1203,-134.9692,78.58,72,10,6.35,PF,2022-02-05 05:54:59
15,Kibungo,-2.1597,30.5427,63.52,91,100,1.63,RW,2022-02-05 05:57:08
16,Tasiilaq,65.6145,-37.6368,20.35,68,100,41.23,GL,2022-02-05 05:57:08
17,Musoma,-1.5,33.8,68.7,80,100,11.79,TZ,2022-02-05 05:57:08
18,Renqiu,38.6989,116.0936,36.28,17,40,6.22,CN,2022-02-05 05:57:09
19,Hobart,-42.8794,147.3294,71.28,61,20,14.97,AU,2022-02-05 05:57:09
20,Ushuaia,-54.8,-68.3,44.26,87,0,5.75,AR,2022-02-05 05:57:09
21,Trinidad,-14.8333,-64.9,73.09,97,80,4.09,BO,2022-02-05 05:57:09
22,Bontang,0.1333,117.5,83.79,68,100,8.05,ID,2022-02-05 05:57:10
23,Cherskiy,68.75,161.3,-31.97,97,7,4.0,RU,2022-02-05 05:57:10
24,Touros,-5.1989,-35.4608,77.9,74,3,11.7,BR,2022-02-05 05:56:31
25,Kodiak,57.79,-152.4072,42.31,70,100,11.5,US,2022-02-05 05:57:10
26,Courtenay,49.6866,-124.9936,43.93,89,75,6.91,CA,2022-02-05 05:57:10
27,Qaanaaq,77.484,-69.3632,0.84,73,100,6.04,GL,2022-02-05 05:57:11
28,Muli,2.9167,73.5667,82.45,72,15,11.95,MV,2022-02-05 05:57:11
29,Leningradskiy,69.3833,178.4167,-19.3,94,49,7.23,RU,2022-02-05 05:57:11
30,Mar Del Plata,-38.0023,-57.5575,65.08,89,100,1.99,AR,2022-02-05 05:55:37
31,Dikson,73.5069,80.5464,-5.57,91,100,7.0,RU,2022-02-05 05:57:11
32,Longyearbyen,78.2186,15.6401,12.04,62,20,26.46,SJ,2022-02-05 05:57:12
33,Saint-Philippe,-21.3585,55.7679,85.59,89,100,24.76,RE,2022-02-05 05:57:12
34,Hithadhoo,-0.6,73.0833,82.47,74,95,15.5,MV,2022-02-05 05:57:12
35,Deputatskiy,69.3,139.9,-28.95,99,30,2.84,RU,2022-02-05 05:57:13
36,Bela,25.9333,81.9833,65.71,47,0,8.79,IN,2022-02-05 05:57:13
37,Hanmer Springs,-42.5167,172.8167,50.86,99,100,3.22,NZ,2022-02-05 05:57:13
38,Torata,-17.0769,-70.8433,57.36,73,5,1.28,PE,2022-02-05 05:57:13
39,Cabo San Lucas,22.8909,-109.9124,62.94,70,0,1.68,MX,2022-02-05 05:53:14
40,Kamenka,51.3223,42.7678,14.56,96,91,8.41,RU,2022-02-05 05:57:14
41,Guerrero Negro,27.9769,-114.0611,58.28,36,0,1.88,MX,2022-02-05 05:57:14
42,Chara,56.9064,118.2631,-3.73,89,86,1.45,RU,2022-02-05 05:57:14
43,Kahului,20.8947,-156.47,75.85,88,25,5.01,US,2022-02-05 05:57:14
44,Ugoofaaru,5.6667,73.0,81.45,67,33,9.15,MV,2022-02-05 05:57:15
45,Port-Cartier,50.0334,-66.8654,-1.25,85,100,7.43,CA,2022-02-05 05:58:15
