City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.8909,-109.9124,72.61,63,0,1.99,clear sky
1,Atuona,PF,-9.8,-139.0333,78.33,79,11,21.99,light rain
2,Krasnoselkup,RU,65.7,82.4667,-15.05,100,96,4.07,overcast clouds
3,Busselton,AU,-33.65,115.3333,68.04,71,16,7.43,few clouds
4,Narsaq,GL,60.9167,-46.05,-0.18,70,63,5.7,broken clouds
5,Tacuati,PY,-23.45,-56.5833,71.08,98,99,0.47,moderate rain
6,Mount Gambier,AU,-37.8333,140.7667,77.76,35,55,7.07,broken clouds
7,Ushuaia,AR,-54.8,-68.3,49.37,89,100,2.13,overcast clouds
8,Tiksi,RU,71.6872,128.8694,-22.04,98,97,6.46,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,70.9,86,14,12.5,few clouds
10,Fort Frances,CA,48.5999,-93.4003,8.82,79,100,0.0,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,79.45,71,71,12.24,broken clouds
12,Jamestown,US,42.097,-79.2353,11.34,98,69,2.01,broken clouds
13,Georgetown,MY,5.4112,100.3354,79.9,89,20,1.99,few clouds
14,Touros,BR,-5.1989,-35.4608,79.9,70,27,11.92,scattered clouds
15,Mimarsinan,TR,41.0032,28.5377,45.99,84,12,8.34,few clouds
16,Esperance,AU,-33.8667,121.9,74.75,51,4,17.74,clear sky
17,Kuala Selangor,MY,3.35,101.25,77.59,86,99,3.65,overcast clouds
18,Gweta,BW,-20.1833,25.2333,73.99,57,77,14.88,broken clouds
19,Vaini,TO,-21.2,-175.2,78.08,88,100,25.12,moderate rain
20,Mataura,NZ,-46.1927,168.8643,57.47,53,97,3.8,overcast clouds
21,Port Elizabeth,ZA,-33.918,25.5701,69.1,84,46,18.7,scattered clouds
22,Yanliang,CN,34.6592,109.2292,29.16,86,100,7.31,light snow
23,Tongren,CN,27.7172,109.1853,39.47,87,100,4.97,overcast clouds
24,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,100,19.08,light rain
25,Saldanha,ZA,-33.0117,17.9442,68.07,70,43,4.34,scattered clouds
26,Cherskiy,RU,68.75,161.3,-30.57,98,21,1.25,few clouds
